Taxon;NOME COMUM
Juliomys ossitenuis;rato-do-mato
Juliomys pictipes;rato-do-mato
Juliomys rimofrons;rato-do-mato
Juliomys ximenezi;rato-do-mato
Wilfredomys oenax;rato-do-mato
Carterodon sulcidens;rato-do-mato 
Necromys lasiurus;rato-do-mato, pixuna, caxexo
Wiedomys cerradensis;rato-do-mato, rato-da-caatinga
Akodon diauarum;rato-do-mato-de-diauarum
Phaenomys ferrugineus;rato-do-mato-ferrug�neo
Akodon kadiweu;rato-do-mato-kadiw�u
Neacomys aletheia;rato-espinhoso
Neacomys amoenus;rato-espinhoso
Neacomys dubosti;rato-espinhoso
Neacomys elieceri;rato-espinhoso
Neacomys guianae;rato-espinhoso
Neacomys jau;rato-espinhoso
Neacomys marajoara�;rato-espinhoso
Neacomys minutus;rato-espinhoso
Neacomys musseri;rato-espinhoso
Neacomys oliveirai;rato-espinhoso
Neacomys paracou;rato-espinhoso
Neacomys vossi;rato-espinhoso
Neacomys xingu;rato-espinhoso
Cerradomys goytaca;rato-goytac�
Rattus rattus;Rato-preto
Phyllomys unicolor;rato-saui� 
Rhagomys rufescens;rato-vermelho, rato-do-mato-laranja, rato-do-mato-vermelho
Mico melanurus;sagui, sagui-marrom, sagui-de-rabo-preto
Mico humilis;sagui-an�o, soim, sagui
Mico argentatus;sagui-arg�nteo, sauim-branco, soim, suim, xuim
Mico leucippe;sagui-branco-de-orelha-nua
Mico chrysoleucos;sagui-branco-e-dourado-de-tufos, sauim-branco, soim, suim
Callithrix geoffroyi;sagui-da-cara-branca, sagui
Callithrix flaviceps;sagui-da-serra-claro, sagui
Callithrix aurita;sagui-da-serra-escuro, sagui
Mico nigriceps;sagui-de-cabe�a-preta
Mico marcai;sagui-de-marca
Mico rondoni;sagui-de-rond�nia, macaquinho-branco, mico-cinza, sagui-branco
Mico schneideri;sagui-de-schneider
Mico emiliae;sagui-de-snethlage 
Callithrix jacchus;sagui-de-tufo-branco, sagui
Mico humeralifer;sagui-de-tufos 
Callithrix penicillata;sagui-de-tufos-pretos, mico-estrela, sagui
Callithrix kuhlii;sagui-de-wied, sagui
Mico acariensis;sagui-do-rio-acari, soim, suim
Mico intermedius;sagui-do-rio-aripuan�
Mico mauesi;sagui-do-rio-mau�s, sagui-de-mau�s 
Mico munduruku;sagui-dos-munduruku
Mico saterei;sagui-dos-sater�, sauim-de-cara-branca, sauim-branco
Rusa unicolor;sambar�
Callicebus nigrifrons;sau�
Callicebus personatus;sau�-de-cara-preta 
Cheracebus torquatus;sau�-de-colar 
Saguinus fuscus;sauim
Saguinus nigricollis;sauim
Saguinus martinsi;sauim
Saguinus ursula;sauim
Saguinus pileatus;sauim
Saguinus inustus;sauim 
Saguinus cruzlimai;sauim, sauim-vermelho, sauim-de-cruz-lima
Saguinus subgrisescens;sauim-bigodeiro
Saguinus weddelli;sauim-branco, sauim
Saguinus mystax;sauim-de-bigode
Saguinus labiatus;sauim-de-boca-branca
Saguinus fuscicollis;sauim-de-cara-suja 
Saguinus bicolor;sauim-de-coleira, sauim-de-manaus
Saguinus midas;sauim-de-m�o-dourada 
Saguinus kulina;sauim-dos-kulina
Saguinus niger;sauim-una 
Myrmecophaga tridactyla;tamandu�-bandeira, papa-formigas, tamandu�-a��, tamandu�-cavalo, iurumi, jurumi, jurumim, bandeira, bandurra
Cyclopes ida;tamandua-�
Cyclopes rufus;tamandua-�
Cyclopes thomasi;tamandua-�
Cyclopes xinguensis;tamandua-�
Cyclopes didactylus;tamandua-�, tamandu�-cigarra, tamandu�-seda
Tamandua tetradactyla;tamandu�-mirim, tamandu�-de-colete, tamandu�-colete, jaleco, mambira, meleta, melete, mixila, iapichau
Sylvilagus brasiliensis;tapeti, tapiti
Sylvilagus minensis;tapeti, tapiti
Sylvilagus paraguensis;tapeti, tapiti
Sylvilagus tapetillus�;tapeti, tapiti
Tolypeutes matacus;tatu-bola, mataco
Tolypeutes tricinctus;tatu-bola, tatu-bola-da-caatinga, tatu-apara, bola, bolinha, tranquinha, tatu-bola-do-nordeste
Priodontes maximus;tatu-canastra, tatu-a�u, tatua�u
Dasypus septemcinctus;tatu-capa-preta, tatu�, mulita, tatu-mirim, tatu-mula, muleta, tatu-china, tatuzinho, tatu�ra, tatu-mulita
Cabassous unicinctus;tatu-de-rabo-mole, tatu-de-rabo-mole-da-amaz�nia, tatu-de-rabo-mole-comum, cabass�, tatu-rabo-de-couro, tatu-de-rabo-mole-pequeno
Cabassous squamicaudis;tatu-de-rabo-mole, tatu-de-rabo-mole-do-cerrado
Cabassous tatouay;tatu-de-rabo-mole-grande, tatu-de-rabo-mole
Dasypus guianensis;tatu-galinha
Dasypus novemcinctus;tatu-galinha, tatu-verdadeiro, tatu-de-folha, tatu-veado, tatu-liso, tatuet�, tatu-nove-bandas, tatu-preto
Euphractus sexcinctus;tatu-peba, peba, tatu-papa-defunto, tatupoi�, tatu-de-m�o-amarela, tatu-cascudo, tatu-peludo, tatu-testa-de-ferro
Dasypus beniensis;tatu-quinze-quilos
Dasypus pastasae;tatu-quinze-quilos
Dasypus kappleri;tatu-quinze-quilos, tatu-tinga, tatu-a�u
Pontoporia blainvillei;toninha
Dactylomys boliviensis;tor� 
Dactylomys dactylinus;tor� 
Ctenomys bicolor;tuco-tuco 
Ctenomys flamarioni;tuco-tuco 
Ctenomys ibicuiensis;tuco-tuco 
Ctenomys lami;tuco-tuco 
Ctenomys minutus;tuco-tuco 
Ctenomys nattereri;tuco-tuco 
Ctenomys rondoni;tuco-tuco 
Ctenomys torquatus;tuco-tuco 
Sotalia fluviatilis;tucuxi
Cacajao calvus;uacari-branco
Cacajao rubicundus;uacari-branco
Cacajao ucayalii;uacari-branco
Cacajao amuna;uacari-branco-dos-kanamari
Cacajao melanocephalus;uacari-de-cabe�a-preta 
Cacajao novaesi;uacari-de-novaes
Cacajao ouakary;uacari-preto, bic�
Ozotoceros bezoarticus;veado-campeiro
Subulo gouazoubira;veado-catingueiro 
Odocoileus virginianus;veado-da-cauda-branca
Mazama nana;veado-m�o-curta 
Mazama americana;veado-mateiro 
Mazama rufa;veado-mateiro 
Mazama jucunda;veado-mateiro-pequeno
Passalites nemorivagus;veado-roxo
Plecturocebus moloch;zogue-zogue
Plecturocebus brunneus;zogue-zogue 
Plecturocebus caligatus;zogue-zogue 
Plecturocebus cinerascens;zogue-zogue 
Plecturocebus cupreus;zogue-zogue 
Plecturocebus donacophilus;zogue-zogue 
Plecturocebus miltoni;zogue-zogue 
Plecturocebus vieirai;zogue-zogue 
Cheracebus lucifer;zogue-zogue 
Cheracebus regulus;zogue-zogue 
Cheracebus lugens;zogue-zogue-de-colar 
Plecturocebus bernhardi;zogue-zogue-de-dernhard, zogue-zogue
Plecturocebus grovesi;zogue-zogue-de-groves, zogue-zogue-de-mato-grosso
Plecturocebus hoffmannsi;zogue-zogue-de-hoffmanns, zogue-zogue
Plecturocebus baptista;zogue-zogue-do-lago-baptista, zogue-zogue
Conepatus chinga;zorrilho, cangamb�, jaritataca 
